net,length_um
_1613_,11.62
_1011_,11.6
_1838_,11.54
tree_instances\[15\].u_tree.pipeline_current_node\[0\]\[6\],11.54
tree_instances\[4\].u_tree.pipeline_frame_id\[0\]\[3\],11.52
tree_instances\[9\].u_tree.pipeline_current_node\[0\]\[8\],11.5
rst_n,11.48
tree_instances\[0\].u_tree.tree_state\[1\],11.44
_0809_,11.42
tree_instances\[16\].u_tree.pipeline_frame_id\[0\]\[4\],11.42
tree_instances\[1\].u_tree.pipeline_current_node\[0\]\[8\],11.42
tree_instances\[15\].u_tree.tree_state\[2\],11.4
_0244_,11.38
_0333_,11.36
_1934_,11.34
_1995_,11.34
_0928_,11.32
_2076_,11.32
tree_instances\[3\].u_tree.pipeline_valid\[0\],11.32
tree_instances\[20\].u_tree.pipeline_valid\[0\],11.3
tree_instances\[8\].u_tree.tree_state\[1\],11.3
tree_instances\[9\].u_tree.pipeline_frame_id\[0\]\[2\],11.3
tree_instances\[1\].u_tree.pipeline_valid\[0\],11.28
_1340_,11.26
_1874_,11.26
_2070_,11.26
_0306_,11.24
_0669_,11.24
_1214_,11.24
tree_instances\[16\].u_tree.pipeline_frame_id\[0\]\[0\],11.23
_0927_,11.22
_0507_,11.2
_1752_,11.2
tree_instances\[11\].u_tree.pipeline_frame_id\[0\]\[1\],11.2
tree_instances\[14\].u_tree.tree_state\[3\],11.2
tree_instances\[17\].u_tree.pipeline_frame_id\[0\]\[1\],11.2
tree_instances\[19\].u_tree.pipeline_frame_id\[0\]\[2\],11.2
tree_instances\[2\].u_tree.pipeline_frame_id\[0\]\[2\],11.2
_1223_,11.18
_1620_,11.18
_0452_,11.16
_1988_,11.12
tree_instances\[9\].u_tree.pipeline_frame_id\[0\]\[3\],11.1
_1933_,11.04
tree_instances\[10\].u_tree.tree_state\[3\],11.04
tree_instances\[10\].u_tree.pipeline_frame_id\[0\]\[3\],11.02
tree_instances\[11\].u_tree.pipeline_current_node\[0\]\[6\],10.99
_1556_,10.96
_1653_,10.96
_1935_,10.96
_0397_,10.92
tree_instances\[6\].u_tree.pipeline_frame_id\[0\]\[3\],10.92
tree_instances\[2\].u_tree.pipeline_current_node\[0\]\[0\],10.9
_0059_,10.86
_1126_,10.86
tree_instances\[0\].u_tree.pipeline_frame_id\[0\]\[3\],10.86
tree_instances\[6\].u_tree.pipeline_frame_id\[0\]\[4\],10.86
_1680_,10.84
tree_instances\[16\].u_tree.pipeline_valid\[0\],10.84
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[5\],10.84
_0157_,10.82
_1362_,10.82
_1904_,10.82
